<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE.MC,D,20000103,000000,17.50,17.50,16.82,16.91,144700,0
ABE.MC,D,20000104,000000,16.76,16.85,16.40,16.49,241400,0
ABE.MC,D,20000105,000000,16.40,17.11,16.31,16.32,129200,0
ABE.MC,D,20000106,000000,16.32,16.32,16.32,16.32,000,0
ABE.MC,D,20000107,000000,16.35,16.80,16.35,16.60,170200,0
ABE.MC,D,20000110,000000,17.00,17.01,16.52,16.81,258200,0
ABE.MC,D,20000111,000000,16.75,16.81,16.43,16.73,314300,0
ABE.MC,D,20000112,000000,16.43,16.51,16.30,16.50,118000,0
ABE.MC,D,20000113,000000,17.00,17.00,16.25,16.25,111500,0
ABE.MC,D,20000114,000000,16.29,16.78,16.28,16.55,125800,0
ABE.MC,D,20000117,000000,16.86,16.86,16.39,16.55,154000,0
ABE.MC,D,20000118,000000,16.41,16.52,15.10,15.35,245200,0
ABE.MC,D,20000119,000000,15.47,15.74,15.06,15.25,364900,0
ABE.MC,D,20000120,000000,15.40,16.00,15.34,16.00,360700,0
ABE.MC,D,20000121,000000,15.80,16.49,15.62,16.11,395700,0
ABE.MC,D,20000124,000000,16.35,16.68,16.12,16.63,324500,0
ABE.MC,D,20000125,000000,16.50,17.18,16.42,17.15,360800,0
ABE.MC,D,20000126,000000,17.00,17.56,16.60,17.40,304800,0
ABE.MC,D,20000127,000000,17.40,17.40,16.51,16.57,636000,0
ABE.MC,D,20000128,000000,16.74,18.00,16.60,17.75,767100,0
ABE.MC,D,20000131,000000,18.07,18.07,16.90,16.90,359500,0
ABE.MC,D,20000201,000000,16.90,17.39,16.65,17.00,197800,0
ABE.MC,D,20000202,000000,17.00,17.08,16.75,17.00,91000,0
ABE.MC,D,20000203,000000,16.95,17.10,16.66,17.10,234000,0
ABE.MC,D,20000204,000000,17.07,17.28,16.90,17.03,85100,0
ABE.MC,D,20000207,000000,17.21,17.25,16.80,16.90,112100,0
ABE.MC,D,20000208,000000,17.00,17.00,16.65,16.70,190900,0
ABE.MC,D,20000209,000000,16.60,16.93,16.50,16.60,171900,0
ABE.MC,D,20000210,000000,16.60,16.69,16.50,16.51,139000,0
ABE.MC,D,20000211,000000,16.59,16.60,16.20,16.34,117400,0
ABE.MC,D,20000214,000000,16.07,16.29,15.60,16.23,351700,0
ABE.MC,D,20000215,000000,16.02,16.40,15.81,16.01,121600,0
ABE.MC,D,20000216,000000,16.05,16.22,15.62,15.63,221800,0
ABE.MC,D,20000217,000000,15.61,16.20,15.61,16.00,203100,0
ABE.MC,D,20000218,000000,15.99,16.40,15.61,16.34,185800,0
ABE.MC,D,20000221,000000,16.54,16.60,15.88,16.20,194300,0
ABE.MC,D,20000222,000000,15.80,16.48,15.80,16.17,1116300,0
ABE.MC,D,20000223,000000,16.25,16.90,16.10,16.89,983200,0
ABE.MC,D,20000224,000000,16.99,17.00,16.31,16.37,267300,0
ABE.MC,D,20000225,000000,16.50,17.20,16.50,17.20,565300,0
ABE.MC,D,20000228,000000,17.20,17.23,16.35,16.35,567200,0
ABE.MC,D,20000229,000000,16.50,16.80,16.48,16.50,162900,0
ABE.MC,D,20000301,000000,16.53,16.78,16.31,16.45,137700,0
ABE.MC,D,20000302,000000,16.51,16.51,16.30,16.34,112100,0
ABE.MC,D,20000303,000000,16.34,16.35,15.90,15.95,343400,0
ABE.MC,D,20000306,000000,16.35,16.40,16.03,16.30,242100,0
ABE.MC,D,20000307,000000,16.30,16.35,16.15,16.26,203100,0
ABE.MC,D,20000308,000000,16.21,16.60,16.21,16.60,104600,0
ABE.MC,D,20000309,000000,16.59,16.97,16.30,16.85,336900,0
ABE.MC,D,20000310,000000,16.85,17.00,16.53,16.74,344100,0
ABE.MC,D,20000313,000000,16.74,16.74,16.74,16.74,000,0
ABE.MC,D,20000314,000000,16.60,16.90,16.50,16.64,105200,0
ABE.MC,D,20000315,000000,16.55,16.70,16.37,16.50,127800,0
ABE.MC,D,20000316,000000,16.50,16.76,16.40,16.69,269500,0
ABE.MC,D,20000317,000000,16.80,16.90,16.75,16.88,277200,0
ABE.MC,D,20000320,000000,16.90,16.95,16.75,16.86,221700,0
ABE.MC,D,20000321,000000,16.82,16.92,16.52,16.58,161400,0
ABE.MC,D,20000322,000000,16.70,16.77,16.50,16.56,244300,0
ABE.MC,D,20000323,000000,16.60,16.65,16.40,16.60,332400,0
ABE.MC,D,20000324,000000,16.69,16.79,16.40,16.45,118000,0
ABE.MC,D,20000327,000000,16.60,16.68,16.40,16.54,151200,0
ABE.MC,D,20000328,000000,16.53,16.69,16.43,16.53,120700,0
ABE.MC,D,20000329,000000,16.65,16.65,16.30,16.32,137900,0
ABE.MC,D,20000330,000000,16.45,16.51,16.25,16.26,160000,0
ABE.MC,D,20000331,000000,16.30,16.50,15.99,16.23,215900,0
ABE.MC,D,20000403,000000,16.48,16.48,16.11,16.25,118800,0
ABE.MC,D,20000404,000000,16.27,16.42,16.01,16.29,103700,0
ABE.MC,D,20000405,000000,16.20,16.36,15.99,16.32,189200,0
ABE.MC,D,20000406,000000,16.30,16.30,16.04,16.18,107400,0
