IBEX 35
Spain
Null
<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,D,20000103,000000,11641.40,11881.80,11574.40,11610.00,000,0
^IBEX,D,20000104,000000,11530.00,11530.00,11159.80,11206.60,000,0
^IBEX,D,20000105,000000,11068.10,11068.10,10824.90,10863.10,000,0
^IBEX,D,20000107,000000,10882.70,11137.90,10882.70,11102.40,000,0
^IBEX,D,20000110,000000,11120.60,11364.30,11120.60,11173.30,000,0
^IBEX,D,20000111,000000,11173.30,11234.60,10919.90,11012.40,000,0
^IBEX,D,20000112,000000,10947.10,10947.10,10821.40,10851.80,000,0
^IBEX,D,20000113,000000,10851.80,11169.80,10827.60,10931.90,000,0
^IBEX,D,20000114,000000,10976.30,11212.10,10976.30,11184.00,000,0
^IBEX,D,20000117,000000,11191.50,11394.20,11191.50,11285.60,000,0
^IBEX,D,20000118,000000,11285.60,11355.40,11032.50,11066.30,000,0
^IBEX,D,20000119,000000,11066.30,11134.40,10931.60,11120.70,000,0
^IBEX,D,20000120,000000,11120.70,11258.10,10970.40,11047.60,000,0
^IBEX,D,20000121,000000,11047.60,11073.90,10904.40,10969.30,000,0
^IBEX,D,20000124,000000,10969.30,11142.20,10908.80,10955.00,000,0
^IBEX,D,20000125,000000,10901.50,10901.50,10808.80,10863.50,000,0
^IBEX,D,20000126,000000,10923.60,11044.30,10923.60,11031.40,000,0
^IBEX,D,20000127,000000,11084.20,11293.60,11084.20,11206.60,000,0
^IBEX,D,20000128,000000,11206.60,11310.90,10987.50,11009.30,000,0
^IBEX,D,20000131,000000,10960.00,10960.00,10770.50,10835.10,000,0
^IBEX,D,20000201,000000,10840.00,10987.90,10840.00,10970.00,000,0
^IBEX,D,20000202,000000,10970.00,11215.80,10926.70,11195.60,000,0
^IBEX,D,20000203,000000,11208.90,11564.50,11208.90,11544.10,000,0
^IBEX,D,20000204,000000,11544.10,11704.90,11510.70,11580.10,000,0
^IBEX,D,20000207,000000,11580.10,11708.70,11469.00,11506.80,000,0
^IBEX,D,20000208,000000,11506.80,11834.80,11492.00,11834.80,000,0
^IBEX,D,20000209,000000,11851.10,12102.80,11851.10,11939.50,000,0
^IBEX,D,20000210,000000,11939.50,12067.60,11757.80,12020.60,000,0
^IBEX,D,20000211,000000,12133.80,12463.70,12133.80,12432.60,000,0
^IBEX,D,20000214,000000,12432.60,12912.30,12333.50,12458.60,000,0
^IBEX,D,20000215,000000,12458.60,12633.20,12144.40,12165.10,000,0
^IBEX,D,20000216,000000,12165.10,12390.50,12089.90,12235.10,000,0
^IBEX,D,20000217,000000,12235.10,12418.80,12126.00,12326.70,000,0
^IBEX,D,20000218,000000,12326.70,12474.10,12323.80,12368.00,000,0
^IBEX,D,20000221,000000,12292.80,12292.80,12112.90,12260.30,000,0
^IBEX,D,20000222,000000,12260.30,12411.20,12053.90,12076.90,000,0
^IBEX,D,20000223,000000,12119.30,12318.20,12119.30,12312.30,000,0
^IBEX,D,20000224,000000,12312.30,12572.90,12312.10,12352.30,000,0
^IBEX,D,20000225,000000,12456.20,12695.00,12456.20,12690.90,000,0
^IBEX,D,20000228,000000,12690.90,12710.50,12372.30,12467.00,000,0
^IBEX,D,20000229,000000,12499.70,12625.90,12499.70,12585.80,000,0
^IBEX,D,20000301,000000,12585.80,12702.40,12500.90,12538.70,000,0
^IBEX,D,20000302,000000,12538.70,12711.60,12450.20,12709.60,000,0
^IBEX,D,20000303,000000,12709.60,12864.80,12315.30,12745.00,000,0
^IBEX,D,20000306,000000,12745.00,12852.90,12678.50,12816.80,000,0
^IBEX,D,20000307,000000,12816.80,12968.50,12654.20,12667.20,000,0
^IBEX,D,20000308,000000,12667.20,12717.80,12472.70,12668.30,000,0
^IBEX,D,20000309,000000,12668.30,12744.60,12539.80,12563.20,000,0
^IBEX,D,20000310,000000,12563.20,12769.40,12445.90,12513.70,000,0
^IBEX,D,20000313,000000,12513.70,12862.80,12198.10,12359.70,000,0
^IBEX,D,20000314,000000,12359.70,12557.90,12302.50,12555.80,000,0
^IBEX,D,20000315,000000,12468.90,12468.90,12229.60,12279.50,000,0
^IBEX,D,20000316,000000,12279.50,12474.90,12222.40,12260.90,000,0
^IBEX,D,20000317,000000,12260.90,12553.60,12206.40,12369.80,000,0
^IBEX,D,20000320,000000,12369.80,12529.70,12362.10,12362.40,000,0
